PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,44885556,-0.6551843285560608,-0.4288150668144226,-17.339963912963867,0.010602585,-0.0035963934,0.3333454
2,44902223,-0.6610021591186523,-0.4604748785495758,-17.360275268554688,-0.006323557,-0.011454829,0.33738995
3,44918890,-0.6799377799034119,-0.4812798798084259,-17.393657684326172,-0.008599947,0.011394254,0.33333683
4,44935557,-0.684876561164856,-0.4924579858779907,-17.409629821777344,-0.014146215,0.0056954245,0.33707333
5,44952224,-0.6882351636886597,-0.5006394386291504,-17.41289520263672,-0.0022835515,0.009834759,0.30325508
6,44968891,-0.6893463730812073,-0.5150249004364014,-17.455625534057617,-0.00910129,0.0026232249,0.33912086
7,44985558,-0.691516101360321,-0.5293482542037964,-17.423294067382812,-0.024201121,0.018831404,0.34296608
8,45002225,-0.6924592852592468,-0.5399763584136963,-17.383298873901367,-0.0277998,0.012156318,0.33714008
9,45018892,-0.6953896880149841,-0.5487004518508911,-17.390460968017578,-0.022522591,0.0048870477,0.3224287
10,45035559,-0.6990931034088135,-0.5592368245124817,-17.43597984313965,-0.02597969,0.016996533,0.30241585
11,45052226,-0.7021545767784119,-0.5699072480201721,-17.434072494506836,-0.02533629,0.01869453,0.34081745
12,45068893,-0.7054247856140137,-0.5813883543014526,-17.455829620361328,-0.020305987,0.02811879,0.3590889
13,45085560,-0.7077599763870239,-0.5959312915802002,-17.463041305541992,-0.030404419,0.029049285,0.33858585
14,45102227,-0.7090920209884644,-0.6086475253105164,-17.48033905029297,-0.020108035,0.024307376,0.32993984
15,45118894,-0.7104352712631226,-0.6228399276733398,-17.497920989990234,-0.033049267,0.015169014,0.31455326
16,45135561,-0.712734580039978,-0.6370306611061096,-17.516124725341797,-0.046633497,0.02715748,0.3296013
17,45152228,-0.7160799503326416,-0.6491506099700928,-17.528533935546875,-0.046197735,0.040172935,0.32648468
18,45168895,-0.7177571058273315,-0.6629974842071533,-17.532915115356445,-0.037636604,0.026439417,0.35246754
19,45185562,-0.7189221978187561,-0.6754530668258667,-17.53108024597168,-0.034757975,0.018000664,0.33236694
20,45202229,-0.72172611951828,-0.6891825199127197,-17.560077667236328,-0.04578454,0.040981535,0.36044312
21,45218896,-0.7250186204910278,-0.7019339203834534,-17.566356658935547,-0.03626138,0.036552366,0.32692528
22,45235563,-0.7266913652420044,-0.714983344078064,-17.561691284179688,-0.041029323,0.024739427,0.32880402
23,45252230,-0.7303685545921326,-0.7286642789840698,-17.559349060058594,-0.036049917,0.04452249,0.33927155
24,45268897,-0.7334672212600708,-0.7428116798400879,-17.550870895385742,-0.04692705,0.030807238,0.34870148
25,45285564,-0.7364217638969421,-0.757106602191925,-17.55712127685547,-0.04871325,0.03557119,0.31783104
26,45302231,-0.7395222187042236,-0.7718998193740845,-17.560361862182617,-0.047922857,0.040291212,0.33720112
27,45318898,-0.7398738861083984,-0.7857694625854492,-17.561100006103516,-0.06742618,0.041313186,0.32039356
28,45335565,-0.7429019808769226,-0.7996386289596558,-17.560922622680664,-0.05296058,0.048697185,0.33447552
29,45352232,-0.7456024289131165,-0.8141593337059021,-17.579008102416992,-0.056438234,0.032561,0.33989906
30,45368899,-0.7482370138168335,-0.82785964012146,-17.59025001525879,-0.0759172,0.045327846,0.3383999
31,45385566,-0.7519102096557617,-0.841604471206665,-17.6060733795166,-0.063607916,0.042923573,0.33908463
32,45402233,-0.7553333044052124,-0.8570355772972107,-17.61539649963379,-0.068888985,0.046387624,0.33795166
33,45418900,-0.7583009600639343,-0.8714817762374878,-17.621191024780273,-0.06347423,0.0357278,0.35246468
34,45435567,-0.7609472870826721,-0.8859943151473999,-17.6071834564209,-0.0746967,0.06081005,0.3521881
35,45452234,-0.7645403146743774,-0.8999466896057129,-17.612510681152344,-0.0641052,0.0531671,0.34344387
36,45468901,-0.7671509385108948,-0.9154574275016784,-17.646886825561523,-0.08126701,0.047068764,0.32013035
37,45485568,-0.7695397138595581,-0.9288035035133362,-17.651927947998047,-0.08328026,0.045323037,0.35768414
38,45502235,-0.7726056575775146,-0.94156676530838,-17.670452117919922,-0.08865082,0.057044473,0.35561562
39,45518902,-0.7760170102119446,-0.9554091095924376,-17.659631729125977,-0.09223554,0.056334518,0.33727837
40,45535569,-0.7792619466781616,-0.9696577191352844,-17.68077278137207,-0.09256219,0.044471517,0.35420418
41,45552236,-0.7815239429473877,-0.983250856399536,-17.695486068725586,-0.08960354,0.05687853,0.33965015
42,45568903,-0.7849904894828796,-0.9981256723403932,-17.69811248779297,-0.09674047,0.04993398,0.3386402
43,45585570,-0.7879769206047058,-1.0128681659698486,-17.709728240966797,-0.09857046,0.05613,0.34410572
44,45602237,-0.7915268540382385,-1.0256121158599854,-17.728334426879883,-0.10087209,0.0628582,0.36027145
45,45618904,-0.7950398921966553,-1.039573073387146,-17.708908081054688,-0.11081247,0.06864609,0.3324566
46,45635571,-0.798215389251709,-1.0551081895828247,-17.708608627319336,-0.10227974,0.06182138,0.32862186
47,45652238,-0.802174985408783,-1.0696918964385986,-17.705995559692383,-0.10887148,0.06074903,0.32384205
48,45668905,-0.8049866557121277,-1.0830334424972534,-17.710956573486328,-0.105062574,0.08310693,0.34307957
49,45685572,-0.8074890971183777,-1.096521258354187,-17.713146209716797,-0.10755475,0.071630076,0.31721306
50,45702239,-0.8103101849555969,-1.1102161407470703,-17.721811294555664,-0.1014417,0.081592746,0.32279205
51,45718906,-0.8131279945373535,-1.1237338781356812,-17.722797393798828,-0.12114746,0.06970914,0.32915878
52,45735573,-0.8169351816177368,-1.1373645067214966,-17.724559783935547,-0.115133084,0.069465965,0.32534313
53,45752240,-0.8198651671409607,-1.1513878107070925,-17.723079681396484,-0.11382574,0.07341743,0.3435278
54,45768907,-0.8232810497283936,-1.1649364233016968,-17.71963119506836,-0.11595794,0.07382177,0.34604168
55,45785574,-0.8261303901672363,-1.1794986724853516,-17.723678588867188,-0.12060044,0.0759973,0.33506012
56,45802241,-0.8301763534545898,-1.1938682794570925,-17.720670700073242,-0.11693083,0.07358291,0.33924007
57,45818908,-0.8322272896766663,-1.2074874639511108,-17.73223876953125,-0.121637374,0.08572535,0.34090137
58,45835575,-0.8355520963668823,-1.2201826572418213,-17.736597061157227,-0.113240704,0.07716489,0.3353033
59,45852242,-0.8392958045005798,-1.2339882850646973,-17.743947982788086,-0.12993659,0.081699505,0.33533478
60,45868909,-0.8416885137557983,-1.2470452785491943,-17.751102447509766,-0.123074375,0.078444526,0.34813404
61,45885576,-0.8444688320159912,-1.2612345218658447,-17.758386611938477,-0.13468069,0.092358895,0.33517933
