sep=,
DeviceTag:,Movella DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,20Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2024-10-17 19:21:43.608 +0700,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
1, 54701342, 1.0, -5.045346915721893E-5, -1.8358789384365082E-4, 9.54633578658104E-5, 0.004469513893127441, -5.499720573425293E-4, 0.1689777970314026
2, 54751343, 0.9999998211860657, -1.3734586536884308E-4, -5.232635885477066E-4, 3.026137128472328E-4, 0.012972414493560791, -9.762048721313477E-4, 0.5062683820724487
3, 54801344, 0.9999998211860657, -1.36522576212883E-4, -5.417820066213608E-4, 2.782801166176796E-4, 0.013689041137695312, -0.00135040283203125, 0.5063884854316711
4, 54851345, 0.9999998211860657, -1.1896155774593353E-4, -5.270950496196747E-4, 2.800663933157921E-4, 0.013550400733947754, -0.0014008283615112305, 0.5070887207984924
5, 54901346, 0.9999998211860657, -1.4024227857589722E-4, -5.157291889190674E-4, 2.9424671083688736E-4, 0.012712538242340088, -0.0014004707336425781, 0.5071731209754944
6, 54951347, 0.9999998211860657, -1.3142451643943787E-4, -5.357507616281509E-4, 3.0506495386362076E-4, 0.013198673725128174, -0.0016326308250427246, 0.5069523453712463
7, 55001348, 0.9999998211860657, -1.3454072177410126E-4, -5.35452738404274E-4, 2.867942675948143E-4, 0.013231813907623291, -0.0014817118644714355, 0.5067532658576965
8, 55051349, 0.9999998211860657, -1.33393332362175E-4, -5.288291722536087E-4, 2.8996821492910385E-4, 0.01350623369216919, -0.0014132261276245117, 0.5073620676994324
9, 55101350, 0.9999998211860657, -1.3274140655994415E-4, -5.330648273229599E-4, 2.9271747916936874E-4, 0.013013839721679688, -0.0011677145957946777, 0.5069084167480469
10, 55151351, 0.9999998211860657, -1.3686157763004303E-4, -5.413927137851715E-4, 2.979366108775139E-4, 0.013667821884155273, -0.0015838146209716797, 0.5073857307434082
11, 55201352, 0.9999998211860657, -1.3334304094314575E-4, -5.20678237080574E-4, 2.889474853873253E-4, 0.013352394104003906, -0.0014888644218444824, 0.5068170428276062
12, 55251353, 0.9999998211860657, -1.258794218301773E-4, -5.188994109630585E-4, 2.7888547629117966E-4, 0.013227641582489014, -0.0016670823097229004, 0.5073078274726868
13, 55301354, 0.9999998211860657, -1.4135800302028656E-4, -5.329195410013199E-4, 2.846410498023033E-4, 0.01326453685760498, -8.696317672729492E-4, 0.506293535232544
14, 55351355, 0.9999998211860657, -1.575089991092682E-4, -5.571935325860977E-4, 2.849949523806572E-4, 0.013308048248291016, -0.0014677643775939941, 0.5060929656028748
15, 55401356, 0.9999998211860657, -1.321006566286087E-4, -5.417186766862869E-4, 2.956883981823921E-4, 0.013139963150024414, -0.0013114213943481445, 0.506952702999115
16, 55451357, 0.9999998211860657, -1.1532194912433624E-4, -5.362629890441895E-4, 2.908678725361824E-4, 0.013457775115966797, -9.568929672241211E-4, 0.5074403882026672
17, 55501358, 0.9999998211860657, -1.3577379286289215E-4, -5.16057014465332E-4, 2.8167571872472763E-4, 0.013338685035705566, -0.0010342001914978027, 0.5071559548377991
18, 55551359, 0.9999997615814209, -1.3695470988750458E-4, -5.829241126775742E-4, 2.894354984164238E-4, 0.012872457504272461, -0.0012860894203186035, 0.5075436234474182
19, 55601360, 0.9999998211860657, -1.394767314195633E-4, -5.272738635540009E-4, 2.886774018406868E-4, 0.01318889856338501, -0.0010764002799987793, 0.5068945288658142
20, 55651361, 0.9999998211860657, -1.1721625924110413E-4, -5.089305341243744E-4, 2.922089770436287E-4, 0.013129353523254395, -0.0011467337608337402, 0.5064436197280884
21, 55701362, 0.9999998211860657, -1.1892803013324738E-4, -5.161426961421967E-4, 2.842610701918602E-4, 0.013315200805664062, -0.0011226534843444824, 0.5066085457801819
22, 55751363, 0.9999998211860657, -1.4181435108184814E-4, -5.352627485990524E-4, 2.877386286854744E-4, 0.013249754905700684, -0.001133739948272705, 0.5073509812355042
23, 55801364, 0.9999998211860657, -1.2353062629699707E-4, -5.347225815057755E-4, 2.852538600564003E-4, 0.013419628143310547, -0.0016005635261535645, 0.5069908499717712
24, 55851365, 0.9999998211860657, -1.440681517124176E-4, -5.40195032954216E-4, 2.779737114906311E-4, 0.013446509838104248, -0.0011523962020874023, 0.5064275860786438
25, 55901366, 0.9999998211860657, -1.3530254364013672E-4, -5.447771400213242E-4, 2.8988998383283615E-4, 0.013135969638824463, -0.0016222000122070312, 0.5076359510421753
26, 55951367, 0.9999998211860657, -1.2889690697193146E-4, -5.201399326324463E-4, 2.926969900727272E-4, 0.0134660005569458, -0.0014200210571289062, 0.5068596601486206
27, 56001368, 0.9999998211860657, -1.3093091547489166E-4, -5.413126200437546E-4, 2.931905910372734E-4, 0.013223052024841309, -0.0013614296913146973, 0.5071722269058228
28, 56051369, 0.9999998211860657, -1.294054090976715E-4, -5.111638456583023E-4, 2.921177074313164E-4, 0.013337910175323486, -0.0012409090995788574, 0.5068199634552002
