PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
1,54701342,1.0,-5.045346915721893e-05,-0.0001835878938436508,9.54633578658104e-05,0.0044695138931274,-0.0005499720573425293,0.1689777970314026
2,54751343,0.9999998211860656,-0.00013734586536884308,-0.0005232635885477066,0.0003026137128472328,0.0129724144935607,-0.0009762048721313475,0.5062683820724487
3,54801344,0.9999998211860656,-0.000136522576212883,-0.0005417820066213608,0.0002782801166176796,0.0136890411376953,-0.0013504028320312,0.5063884854316711
4,54851345,0.9999998211860656,-0.00011896155774593352,-0.0005270950496196747,0.0002800663933157921,0.0135504007339477,-0.0014008283615112,0.5070887207984924
5,54901346,0.9999998211860656,-0.00014024227857589722,-0.0005157291889190674,0.00029424671083688736,0.01271253824234,-0.0014004707336425,0.5071731209754944
6,54951347,0.9999998211860656,-0.0001314245164394379,-0.0005357507616281509,0.0003050649538636208,0.0131986737251281,-0.0016326308250427,0.5069523453712463
7,55001348,0.9999998211860656,-0.00013454072177410126,-0.000535452738404274,0.0002867942675948143,0.0132318139076232,-0.0014817118644714,0.5067532658576965
8,55051349,0.9999998211860656,-0.000133393332362175,-0.0005288291722536087,0.00028996821492910385,0.0135062336921691,-0.0014132261276245,0.5073620676994324
9,55101350,0.9999998211860656,-0.00013274140655994415,-0.0005330648273229599,0.00029271747916936874,0.0130138397216796,-0.0011677145957946,0.5069084167480469
10,55151351,0.9999998211860656,-0.00013686157763004303,-0.0005413927137851715,0.0002979366108775139,0.0136678218841552,-0.0015838146209716,0.5073857307434082
11,55201352,0.9999998211860656,-0.00013334304094314575,-0.000520678237080574,0.0002889474853873253,0.0133523941040039,-0.0014888644218444,0.5068170428276062
12,55251353,0.9999998211860656,-0.0001258794218301773,-0.0005188994109630585,0.00027888547629117966,0.013227641582489,-0.0016670823097229,0.5073078274726868
13,55301354,0.9999998211860656,-0.00014135800302028656,-0.0005329195410013199,0.0002846410498023033,0.0132645368576049,-0.0008696317672729492,0.506293535232544
14,55351355,0.9999998211860656,-0.0001575089991092682,-0.0005571935325860977,0.0002849949523806572,0.013308048248291,-0.0014677643775939,0.5060929656028748
15,55401356,0.9999998211860656,-0.0001321006566286087,-0.0005417186766862869,0.0002956883981823921,0.0131399631500244,-0.0013114213943481,0.506952702999115
16,55451357,0.9999998211860656,-0.00011532194912433624,-0.0005362629890441895,0.0002908678725361824,0.0134577751159667,-0.0009568929672241212,0.5074403882026672
17,55501358,0.9999998211860656,-0.00013577379286289215,-0.000516057014465332,0.00028167571872472763,0.0133386850357055,-0.0010342001914978,0.5071559548377991
18,55551359,0.9999997615814208,-0.00013695470988750458,-0.0005829241126775742,0.0002894354984164238,0.0128724575042724,-0.0012860894203186,0.5075436234474182
19,55601360,0.9999998211860656,-0.0001394767314195633,-0.0005272738635540009,0.0002886774018406868,0.013188898563385,-0.0010764002799987,0.5068945288658142
20,55651361,0.9999998211860656,-0.00011721625924110413,-0.0005089305341243744,0.0002922089770436287,0.0131293535232543,-0.0011467337608337,0.5064436197280884
21,55701362,0.9999998211860656,-0.00011892803013324738,-0.0005161426961421967,0.0002842610701918602,0.013315200805664,-0.0011226534843444,0.5066085457801819
22,55751363,0.9999998211860656,-0.00014181435108184814,-0.0005352627485990524,0.0002877386286854744,0.0132497549057006,-0.0011337399482727,0.5073509812355042
23,55801364,0.9999998211860656,-0.00012353062629699707,-0.0005347225815057755,0.0002852538600564003,0.0134196281433105,-0.0016005635261535,0.5069908499717712
24,55851365,0.9999998211860656,-0.0001440681517124176,-0.000540195032954216,0.0002779737114906311,0.0134465098381042,-0.0011523962020874,0.5064275860786438
25,55901366,0.9999998211860656,-0.00013530254364013672,-0.0005447771400213242,0.0002898899838328361,0.0131359696388244,-0.001622200012207,0.5076359510421753
26,55951367,0.9999998211860656,-0.00012889690697193146,-0.0005201399326324463,0.0002926969900727272,0.0134660005569458,-0.0014200210571289,0.5068596601486206
27,56001368,0.9999998211860656,-0.00013093091547489166,-0.0005413126200437546,0.0002931905910372734,0.0132230520248413,-0.0013614296913146,0.5071722269058228
28,56051369,0.9999998211860656,-0.0001294054090976715,-0.0005111638456583023,0.0002921177074313164,0.0133379101753234,-0.0012409090995788,0.5068199634552002
29,56101370,0.9999998211860656,-0.00014316849410533905,-0.0005568545311689377,0.0002842014655470848,0.0130114555358886,-0.0012178421020507,0.5071435570716858
30,56151371,0.9999998211860656,-0.0001233462244272232,-0.0005181077867746353,0.00030473899096250534,0.0135639309883117,-0.0011317133903503,0.5068104863166809
31,56201372,0.9999998211860656,-0.0001321900635957718,-0.0005440171808004379,0.00029882509261369705,0.0130162835121154,-0.0015503168106079,0.5068033337593079
32,56251373,0.9999998211860656,-0.00013074465095996857,-0.000553598627448082,0.0003015035763382912,0.0130946040153503,-0.0014513134956359,0.507356584072113
33,56301374,0.9999998211860656,-0.00013937056064605713,-0.0005195997655391693,0.0002662474289536476,0.0134397745132446,-0.0015215277671813,0.5073955655097961
34,56351375,0.9999998211860656,-0.00012139976024627686,-0.0005254894495010376,0.0003000134602189064,0.0133225917816162,-0.0015288591384887,0.5068458914756775
35,56401376,0.9999998211860656,-0.00012688897550106049,-0.0005122870206832886,0.00029479246586561203,0.0128161311149597,-0.00097733736038208,0.5065961480140686
36,56451377,0.9999998211860656,-0.00014775805175304413,-0.0005228519439697266,0.00026257243007421494,0.0133810639381408,-0.0014035105705261,0.507233738899231
