faccX,faccY,yaw,posX,posY,velX,velY
0,0,-39.29032516479492,0.0,0.0,0.0,0.0
0,0,-39.29214859008789,0.0,0.0,0.0,0.0
0,0,-39.293006896972656,0.0,0.0,0.0,0.0
0,0,-39.29325866699219,0.0,0.0,0.0,0.0
0,0,-39.29545593261719,0.0,0.0,0.0,0.0
0,0,-39.29702377319336,0.0,0.0,0.0,0.0
0,0,-39.299251556396484,0.0,0.0,0.0,0.0
0,0,-39.300941467285156,0.0,0.0,0.0,0.0
0,0,-39.30284881591797,0.0,0.0,0.0,0.0
0,0,-39.303680419921875,0.0,0.0,0.0,0.0
0,0,-39.304725646972656,0.0,0.0,0.0,0.0
0,0,-39.307350158691406,0.0,0.0,0.0,0.0
0,0,-39.3088264465332,0.0,0.0,0.0,0.0
0,0,-39.30988311767578,0.0,0.0,0.0,0.0
0,0,-39.310523986816406,0.0,0.0,0.0,0.0
0,0,-39.313087463378906,0.0,0.0,0.0,0.0
0,0,-39.31477355957031,0.0,0.0,0.0,0.0
0,0,-39.31584167480469,0.0,0.0,0.0,0.0
0,0,-39.316715240478516,0.0,0.0,0.0,0.0
0,0,-39.31796646118164,0.0,0.0,0.0,0.0
0,0,-39.31889724731445,0.0,0.0,0.0,0.0
0,0,-39.32051086425781,0.0,0.0,0.0,0.0
0,0,-39.32400894165039,0.0,0.0,0.0,0.0
0,0,-39.32451248168945,0.0,0.0,0.0,0.0
0,0,-39.327293395996094,0.0,0.0,0.0,0.0
0,0,-39.32886505126953,0.0,0.0,0.0,0.0
0,0,-39.33031463623047,0.0,0.0,0.0,0.0
0,0,-39.3315544128418,0.0,0.0,0.0,0.0
0,0,-39.331748962402344,0.0,0.0,0.0,0.0
0,0,-39.33186340332031,0.0,0.0,0.0,0.0
0,0,-39.333526611328125,0.0,0.0,0.0,0.0
0,0,-39.333736419677734,0.0,0.0,0.0,0.0
0,0,-39.335533142089844,0.0,0.0,0.0,0.0
0,0,-39.33576202392578,0.0,0.0,0.0,0.0
0,0,-39.33604049682617,0.0,0.0,0.0,0.0
0,0,-39.33669662475586,0.0,0.0,0.0,0.0
0,0,-39.33839797973633,0.0,0.0,0.0,0.0
0,0,-39.339908599853516,0.0,0.0,0.0,0.0
0,0,-39.341148376464844,0.0,0.0,0.0,0.0
0,0,-39.34307861328125,0.0,0.0,0.0,0.0
0,0,-39.3440055847168,0.0,0.0,0.0,0.0
0,0,-39.34482955932617,0.0,0.0,0.0,0.0
0,0,-39.3461799621582,0.0,0.0,0.0,0.0
0,0,-39.346988677978516,0.0,0.0,0.0,0.0
0,0,-39.3482780456543,0.0,0.0,0.0,0.0
0,0,-39.3505973815918,0.0,0.0,0.0,0.0
0,0,-39.352169036865234,0.0,0.0,0.0,0.0
0,0,-39.35325241088867,0.0,0.0,0.0,0.0
0,0,-39.35403060913086,0.0,0.0,0.0,0.0
0,0,-39.35598373413086,0.0,0.0,0.0,0.0
0,0,-39.358192443847656,0.0,0.0,0.0,0.0
0,0,-39.36040115356445,0.0,0.0,0.0,0.0
0,0,-39.3614501953125,0.0,0.0,0.0,0.0
0,0,-39.363529205322266,0.0,0.0,0.0,0.0
0,0,-39.3656120300293,0.0,0.0,0.0,0.0
0,0,-39.366241455078125,0.0,0.0,0.0,0.0
0,0,-39.36663055419922,0.0,0.0,0.0,0.0
0,0,-39.367374420166016,0.0,0.0,0.0,0.0
0,0,-39.36920166015625,0.0,0.0,0.0,0.0
0,0,-39.37040710449219,0.0,0.0,0.0,0.0
0,0,-39.37212371826172,0.0,0.0,0.0,0.0
-0.08190392702817917,0,-39.454742431640625,-5.68777271029022e-06,0.0,-0.0006825327252348264,0.0
1.3499890565872192,-0.5063307285308838,-39.19110870361328,7.099814919961822e-05,-3.5161856147978044e-05,0.00988484335442384,-0.004219422737757365
0.6752541661262512,-0.5351671576499939,-37.844398498535156,0.00037638742890622884,-0.0001778118105398284,0.02676187021036943,-0.012898571789264679
0.3599488139152527,-1.4277364015579224,-36.51983642578125,0.0008943076949152682,-0.0005291007541947895,0.0353885617107153,-0.02925610144933065
0,-1.203418493270874,-36.19374084472656,0.0015091135021713046,-0.0011994215349356335,0.03838813516000907,-0.05118239223957062
0.2398080825805664,-0.44051870703697205,-36.60173416137695,0.0021655690939062174,-0.0021666237111720777,0.04038653584818046,-0.06488186890880267
0.2869266867637634,0.16628935933113098,-37.119869232177734,0.0028752568281359145,-0.00326703189768725,0.04477599225938321,-0.06716711347301801
-0.352467805147171,1.554779052734375,-38.05311965942383,0.003616971899237898,-0.004266965149177446,0.04422981627285481,-0.05282487670580546
0.1913737803697586,1.1308661699295044,-38.407413482666016,0.0043429484187314914,-0.004960876620478101,0.04288736606637638,-0.030444499850273133
